animal_type,primary_color,sex,intake_condition,intake_type,has_name,days_to_adoption,age_at_intake_days,intake_is_weekend,intake_month_sin,intake_month_cos,intake_dayofweek_sin,intake_dayofweek_cos
CAT,WHITE/PINK,SPAYED,ILL/INJURED MODERATE,STRAY,1,183,2557.0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
CAT,BLACK,SPAYED,ILL/INJURED MODERATE,STRAY,1,49,731.0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
CAT,WHITE/PINK,SPAYED,ILL/INJURED MODERATE,STRAY,1,25,366.0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
DOG,WHITE/PINK,FEMALE,NORMAL,SEIZED/CONFISCATE,1,31,730.0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,7,730.0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
CAT,TORTIE,SPAYED,BEHAVIOR,OWNER SURRENDER,1,26,1461.0,1,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,NEUTERED,NORMAL,SEIZED/CONFISCATE,1,14,1826.0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,SPAYED,NORMAL,SEIZED/CONFISCATE,1,14,1096.0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,SPAYED,NORMAL,OWNER SURRENDER,1,22,2926.0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,STRAY,1,13,1095.0,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
CAT,CALICO,SPAYED,ILL/INJURED SEVERE,STRAY,1,138,1096.0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
DOG,BLACK,SPAYED,NORMAL,OWNER SURRENDER,1,14,1461.0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
CAT,CALICO,FEMALE,NORMAL,STRAY,0,6,92.0,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419
CAT,POINT,SPAYED,UNDER AGE/WEIGHT,STRAY,1,21,30.0,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,77,15.0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,RETURN,1,1,215.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,GRAY/BLUE/SILVER,SPAYED,NORMAL,STRAY,1,294,1095.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
CAT,GRAY/BLUE/SILVER,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,210,15.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,137,15.0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
DOG,GRAY/BLUE/SILVER,NEUTERED,NORMAL,STRAY,1,24,1825.0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,63,68.0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
CAT,TABBY,SPAYED,ILL/INJURED MODERATE,STRAY,1,85,472.0,0,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191
CAT,TABBY,FEMALE,UNDER AGE/WEIGHT,STRAY,1,104,30.0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
CAT,MULTI-COLORED,SPAYED,NORMAL,OWNER SURRENDER,1,24,984.0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,35,37.0,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,SPAYED,NORMAL,STRAY,1,86,92.0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
CAT,POINT,NEUTERED,NORMAL,OWNER SURRENDER,1,3,2412.0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
DOG,WHITE/PINK,NEUTERED,NORMAL,STRAY,1,6,365.0,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
CAT,TABBY,MALE,NORMAL,STRAY,0,4,61.0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,217,1095.0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
CAT,BLACK,MALE,UNDER AGE/WEIGHT,STRAY,1,68,18.0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336
DOG,LIGHT/WARM,SPAYED,NORMAL,STRAY,1,7,1461.0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
DOG,BROWN/TAN,NEUTERED,ILL/INJURED SEVERE,SEIZED/CONFISCATE,1,51,365.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
DOG,BLACK,NEUTERED,NORMAL,OWNER SURRENDER,1,36,2568.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,14,61.0,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,7,242.0,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,48,6.0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,56,6.0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
CAT,CALICO,SPAYED,NORMAL,STRAY,1,18,92.0,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
BIRD,WHITE/PINK,UNKNOWN,NORMAL,OWNER SURRENDER,1,0,366.0,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,MALE,NORMAL,STRAY,0,6,92.0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
DOG,MULTI-COLORED,SPAYED,NORMAL,OWNER SURRENDER,1,2,2744.0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
CAT,POINT,NEUTERED,NORMAL,STRAY,1,37,61.0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,36,61.0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
CAT,LIGHT/WARM,NEUTERED,NORMAL,OWNER SURRENDER,1,105,730.0,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
CAT,TABBY,MALE,UNDER AGE/WEIGHT,STRAY,1,110,10.0,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
CAT,GRAY/BLUE/SILVER,SPAYED,NORMAL,STRAY,1,10,93.0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
CAT,TABBY,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,63,3.0,1,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,69,5.0,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,1,61.0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,8,61.0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
DOG,BROWN/TAN,SPAYED,NORMAL,STRAY,1,11,89.0,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
